productCode,productName,productLine,productVendor,productDescription,quantityInStock,buyPrice,MSRP
WAT0001,Citizen Reverso,Classic Collection,Citizen Watch Co.,"Automatic movement, stainless steel case, water-resistant up to 100 meters.",113,19679,25900
WAT0002,Casio Reverso,Limited Edition,Casio Computer Co.,"Bluetooth connectivity, fitness tracking, OLED display.",194,75728,110800
WAT0003,Rolex Luminor,Classic Collection,Rolex SA,"Ceramic case, carbon fiber dial, rubber strap.",137,1336,1695
WAT0004,Breitling Speedmaster Limited Edition,Luxury Watches,Breitling SA,"Tourbillon movement, 18k gold case, alligator leather band.",148,7701,11495
WAT0005,Patek Philippe Navitimer,Sports Watches,Patek Philippe SA,"Tourbillon movement, 18k gold case, alligator leather band.",184,17664,25000
WAT0006,Omega Royal Oak,Classic Collection,Omega SA,"Ceramic case, carbon fiber dial, rubber strap.",97,19840,25000
WAT0007,Omega Promaster,Sports Watches,Omega SA,"Perpetual calendar, dual time zone, luminous markers.",112,25945,34500
WAT0008,Omega Portugieser,Sports Watches,Omega SA,"Solar-powered movement, titanium case, NATO strap.",192,35143,44000
WAT0009,Panerai Speedmaster,Classic Collection,Officine Panerai,"Chronograph function, luminous hands, ceramic bezel.",156,1446,1995
WAT0010,Seiko Navitimer,Limited Edition,Seiko Holdings,"Bluetooth connectivity, fitness tracking, OLED display.",132,20685,32000
WAT0011,IWC Schaffhausen Le Locle,Limited Edition,IWC Schaffhausen,"Perpetual calendar, dual time zone, luminous markers.",190,10421,15495
WAT0012,Panerai G-Shock,Dress Watches,Officine Panerai,"Diamond-set bezel, mother-of-pearl dial, jewelry clasp.",160,72864,105400
WAT0013,Tag Heuer G-Shock Limited Edition,Smart Watches,Tag Heuer International,"Tourbillon movement, 18k gold case, alligator leather band.",178,6733,10495
WAT0014,Cartier Royal Oak,Smart Watches,Cartier International,"Automatic movement, stainless steel case, water-resistant up to 100 meters.",158,7033,10495
WAT0015,Tissot Big Bang,Smart Watches,Tissot SA,"Skeleton dial, exhibition case back, limited production.",112,3632,4995
WAT0016,Seiko Big Bang,Luxury Watches,Seiko Holdings,"Automatic movement, stainless steel case, water-resistant up to 100 meters.",148,7392,11995
WAT0017,Panerai Portugieser,Classic Collection,Officine Panerai,"Skeleton dial, exhibition case back, limited production.",173,29701,45500
WAT0018,Audemars Piguet Seamaster,Sports Watches,Audemars Piguet SA,"Solar-powered movement, titanium case, NATO strap.",174,3776,4995
WAT0019,Tissot Le Locle,Dress Watches,Tissot SA,"Perpetual calendar, dual time zone, luminous markers.",62,3974,4995
WAT0020,Tissot Royal Oak,Smart Watches,Tissot SA,"Tourbillon movement, 18k gold case, alligator leather band.",99,4986,7295
WAT0021,Cartier Le Locle,Sports Watches,Cartier International,"Bluetooth connectivity, fitness tracking, OLED display.",64,3532,4495
WAT0022,Audemars Piguet Royal Oak Limited Edition,Luxury Watches,Audemars Piguet SA,"Tourbillon movement, 18k gold case, alligator leather band.",184,3642,4995
WAT0023,Citizen Submariner,Classic Collection,Citizen Watch Co.,"Ceramic case, carbon fiber dial, rubber strap.",159,5524,6995
WAT0024,Patek Philippe G-Shock,Classic Collection,Patek Philippe SA,"Bluetooth connectivity, fitness tracking, OLED display.",81,4765,6995
WAT0025,Audemars Piguet Seamaster,Smart Watches,Audemars Piguet SA,"Quartz movement, sapphire crystal, genuine leather strap.",169,28343,45000
WAT0026,Citizen Reverso,Classic Collection,Citizen Watch Co.,"Quartz movement, sapphire crystal, genuine leather strap.",157,35829,57000
WAT0027,Panerai Carrera,Limited Edition,Officine Panerai,"Automatic movement, stainless steel case, water-resistant up to 100 meters.",120,14295,22400
WAT0028,Rolex Seamaster,Classic Collection,Rolex SA,"Chronograph function, luminous hands, ceramic bezel.",181,14558,19250
WAT0029,Audemars Piguet Le Locle,Dress Watches,Audemars Piguet SA,"Automatic movement, stainless steel case, water-resistant up to 100 meters.",81,29116,43000
WAT0030,Citizen G-Shock,Dress Watches,Citizen Watch Co.,"Quartz movement, sapphire crystal, genuine leather strap.",125,385,499
WAT0031,Rolex Carrera,Luxury Watches,Rolex SA,"Diamond-set bezel, mother-of-pearl dial, jewelry clasp.",177,312,499
WAT0032,Tag Heuer Royal Oak,Luxury Watches,Tag Heuer International,"Ceramic case, carbon fiber dial, rubber strap.",163,301,499
WAT0033,Seiko Luminor,Luxury Watches,Seiko Holdings,"Perpetual calendar, dual time zone, luminous markers.",127,302,499
WAT0034,Jaeger-LeCoultre G-Shock,Sports Watches,Jaeger-LeCoultre,"Tourbillon movement, 18k gold case, alligator leather band.",102,14119,22400
WAT0035,Citizen Luminor,Limited Edition,Citizen Watch Co.,"Skeleton dial, exhibition case back, limited production.",89,15429,22400
WAT0036,Citizen Portugieser,Limited Edition,Citizen Watch Co.,"Perpetual calendar, dual time zone, luminous markers.",111,35744,52000
WAT0037,Casio Navitimer,Dress Watches,Casio Computer Co.,"Solar-powered movement, titanium case, NATO strap.",189,3470,4895
WAT0038,Hublot Nautilus,Classic Collection,Hublot SA,"Quartz movement, sapphire crystal, genuine leather strap.",156,3692,4795
WAT0039,Patek Philippe Nautilus,Luxury Watches,Patek Philippe SA,"Chronograph function, luminous hands, ceramic bezel.",190,2298,3595
WAT0040,IWC Schaffhausen Reverso,Sports Watches,IWC Schaffhausen,"Tourbillon movement, 18k gold case, alligator leather band.",129,2520,3195
WAT0041,Omega Portugieser,Limited Edition,Omega SA,"Skeleton dial, exhibition case back, limited production.",77,8484,12995
WAT0042,Cartier Reverso,Dress Watches,Cartier International,"Tourbillon movement, 18k gold case, alligator leather band.",129,9069,11995
